name1,name2,value
收银,黄浦区,4892.857142857143
收银,普陀区,4936.170212765957
收银,闵行区,4914.141414141414
收银,松江区,4562.5
收银,虹口区,5040.540540540541
收银,宝山区,5018.518518518518
收银,嘉定区,4634.615384615385
收银,静安区,5121.212121212121
收银,崇明区,0.0
收银,金山区,0.0
收银,奉贤区,4433.333333333333
月嫂,上海,5700.0
月嫂,青浦区,0.0
月嫂,杨浦区,0.0
月嫂,徐汇区,500.0
月嫂,浦东新区,0.0
月嫂,长宁区,0.0
月嫂,黄浦区,0.0
月嫂,普陀区,0.0
月嫂,闵行区,4000.0
月嫂,松江区,0.0
月嫂,虹口区,0.0
月嫂,宝山区,0.0
月嫂,嘉定区,5000.0
月嫂,静安区,0.0
月嫂,崇明区,0.0
月嫂,金山区,0.0
月嫂,奉贤区,0.0
保姆,上海,3000.0
保姆,青浦区,0.0
保姆,杨浦区,0.0
保姆,徐汇区,0.0
保姆,浦东新区,8000.0
保姆,长宁区,0.0
保姆,黄浦区,0.0
保姆,普陀区,0.0
保姆,闵行区,4000.0
保姆,松江区,0.0
保姆,虹口区,0.0
保姆,宝山区,4000.0
保姆,嘉定区,4000.0
保姆,静安区,0.0
保姆,崇明区,0.0
保姆,金山区,0.0
保姆,奉贤区,0.0
家政,上海,5083.333333333333
家政,青浦区,4000.0
家政,杨浦区,0.0
家政,徐汇区,4766.666666666667
家政,浦东新区,10000.0
家政,长宁区,6666.666666666667
家政,黄浦区,6750.0
家政,普陀区,4750.0
家政,闵行区,4000.0
家政,松江区,10000.0
家政,虹口区,0.0
家政,宝山区,8000.0
家政,嘉定区,5000.0
家政,静安区,0.0
家政,崇明区,0.0
家政,金山区,0.0
家政,奉贤区,0.0
婚礼策划,上海,7000.0
婚礼策划,青浦区,0.0
婚礼策划,杨浦区,10000.0
婚礼策划,徐汇区,0.0
婚礼策划,浦东新区,0.0
婚礼策划,长宁区,0.0
婚礼策划,黄浦区,0.0
婚礼策划,普陀区,0.0
婚礼策划,闵行区,0.0
婚礼策划,松江区,0.0
婚礼策划,虹口区,0.0
婚礼策划,宝山区,0.0
婚礼策划,嘉定区,0.0
婚礼策划,静安区,0.0
婚礼策划,崇明区,0.0
婚礼策划,金山区,0.0
婚礼策划,奉贤区,0.0
育婴师,上海,4857.142857142857
育婴师,青浦区,0.0
育婴师,杨浦区,0.0
育婴师,徐汇区,8000.0
育婴师,浦东新区,4000.0
育婴师,长宁区,0.0
育婴师,黄浦区,0.0
育婴师,普陀区,0.0
育婴师,闵行区,4400.0
育婴师,松江区,0.0
育婴师,虹口区,3500.0
育婴师,宝山区,0.0
育婴师,嘉定区,0.0
育婴师,静安区,0.0
育婴师,崇明区,0.0
育婴师,金山区,0.0
育婴师,奉贤区,0.0
催乳师,上海,6750.0
催乳师,青浦区,0.0
催乳师,杨浦区,0.0
催乳师,徐汇区,0.0
催乳师,浦东新区,0.0
催乳师,长宁区,0.0
催乳师,黄浦区,0.0
催乳师,普陀区,0.0
催乳师,闵行区,0.0
催乳师,松江区,0.0
催乳师,虹口区,0.0
催乳师,宝山区,0.0
催乳师,嘉定区,0.0
催乳师,静安区,0.0
催乳师,崇明区,0.0
催乳师,金山区,0.0
催乳师,奉贤区,0.0
美容导师,上海,10000.0
美容导师,青浦区,9000.0
美容导师,杨浦区,8000.0
美容导师,徐汇区,0.0
美容导师,浦东新区,7250.0
美容导师,长宁区,8300.0
美容导师,黄浦区,8000.0
美容导师,普陀区,5500.0
美容导师,闵行区,5000.0
美容导师,松江区,0.0
美容导师,虹口区,0.0
美容导师,宝山区,0.0
美容导师,嘉定区,0.0
美容导师,静安区,0.0
美容导师,崇明区,0.0
美容导师,金山区,0.0
美容导师,奉贤区,0.0
